id,name,album_id,song_number,explicit
230,thanK you aIMee 🅴,11,24,1
231,I Look in People's Windows,11,25,0
232,The Prophecy,11,26,0
233,Cassandra 🅴,11,27,1
234,Peter,11,28,0
235,The Bolter 🅴,11,29,1
236,Robin,11,30,0
237,The Manuscript,11,31,0
238,The Fate of Ophelia,12,1,0
239,Elizabeth Taylor,12,2,0
240,Opalite,12,3,0
241,Father Figure 🅴,12,4,1
242,Eldest Daughter 🅴,12,5,1
243,Ruin The Friendship,12,6,0
244,Actually Romantic 🅴,12,7,1
245,Wi$h Li$t 🅴,12,8,1
246,Wood 🅴,12,9,1
247,CANCELLED! 🅴,12,10,1
248,Honey 🅴,12,11,1
249,The Life of a Showgirl (feat. Sabrina Carpenter) 🅴,12,12,1
